Year,Week,Division,Cases
2025,3,Sylhet Division (Out of CC),1
2025,3,Barishal Division (Out of CC),9
2025,3,Chittagong Division (Out of CC),null
2025,3,Chattogram Division (Out of CC),4
2025,3,Dhaka Division (Out of CC),1
2025,3,DNCC,5
2025,3,DSCC,6
2025,3,Khulna Division (Out of CC),null
2025,3,Mymensingh Division (Out of CC),null
2025,3,Rajshahi Division (Out of CC),1
2025,3,Rangpur Division (Out of CC),1
2025,3,Sylhet Division (Out of CC),null
2025,3,Barishal Division (Out of CC),null
2025,3,Chittagong Division (Out of CC),null
2025,3,Chattogram Division (Out of CC),2
2025,3,Dhaka Division (Out of CC),3
2025,3,DNCC,11
2025,3,DSCC,null
2025,3,Khulna Division (Out of CC),null
2025,3,Mymensingh Division (Out of CC),1
2025,3,Rajshahi Division (Out of CC),1
2025,3,Rangpur Division (Out of CC),1
2025,3,Sylhet Division (Out of CC),null
2025,3,Barishal Division (Out of CC),7
2025,3,Chittagong Division (Out of CC),null
2025,3,Chattogram Division (Out of CC),6
2025,3,Dhaka Division (Out of CC),7
2025,3,DNCC,2
2025,3,DSCC,14
2025,3,Khulna Division (Out of CC),3
2025,3,Mymensingh Division (Out of CC),1
2025,3,Rajshahi Division (Out of CC),null
2025,3,Rangpur Division (Out of CC),null
2025,3,Sylhet Division (Out of CC),null
2025,4,Barishal Division (Out of CC),11
2025,4,Chittagong Division (Out of CC),null
2025,4,Chattogram Division (Out of CC),17
2025,4,Dhaka Division (Out of CC),6
2025,4,DNCC,2
2025,4,DSCC,7
2025,4,Khulna Division (Out of CC),1
2025,4,Mymensingh Division (Out of CC),1
2025,4,Rajshahi Division (Out of CC),1
2025,4,Rangpur Division (Out of CC),null
2025,4,Sylhet Division (Out of CC),null
2025,4,Barishal Division (Out of CC),12
2025,4,Chittagong Division (Out of CC),null
2025,4,Chattogram Division (Out of CC),2
2025,4,Dhaka Division (Out of CC),9
2025,4,DNCC,3
2025,4,DSCC,7
2025,4,Khulna Division (Out of CC),6
2025,4,Mymensingh Division (Out of CC),null
2025,4,Rajshahi Division (Out of CC),null
2025,4,Rangpur Division (Out of CC),null
2025,4,Sylhet Division (Out of CC),null
2025,4,Barishal Division (Out of CC),1
2025,4,Chittagong Division (Out of CC),null
2025,4,Chattogram Division (Out of CC),5
2025,4,Dhaka Division (Out of CC),6
2025,4,DNCC,2
2025,4,DSCC,5
2025,4,Khulna Division (Out of CC),3
2025,4,Mymensingh Division (Out of CC),1
2025,4,Rajshahi Division (Out of CC),1
2025,4,Rangpur Division (Out of CC),null
2025,4,Sylhet Division (Out of CC),null
2025,4,Barishal Division (Out of CC),5
2025,4,Chittagong Division (Out of CC),null
2025,4,Chattogram Division (Out of CC),6
2025,4,Dhaka Division (Out of CC),6
2025,4,DNCC,1
2025,4,DSCC,9
2025,4,Khulna Division (Out of CC),1
2025,4,Mymensingh Division (Out of CC),3
2025,4,Rajshahi Division (Out of CC),1
2025,4,Rangpur Division (Out of CC),null
2025,4,Sylhet Division (Out of CC),null
2025,4,Barishal Division (Out of CC),5
2025,4,Chittagong Division (Out of CC),null
2025,4,Chattogram Division (Out of CC),4
2025,4,Dhaka Division (Out of CC),4
2025,4,DNCC,1
2025,4,DSCC,1
2025,4,Khulna Division (Out of CC),3
2025,4,Mymensingh Division (Out of CC),2
2025,4,Rajshahi Division (Out of CC),1
2025,4,Rangpur Division (Out of CC),null
2025,4,Sylhet Division (Out of CC),null
2025,4,Barishal Division (Out of CC),null
2025,4,Chittagong Division (Out of CC),null
2025,4,Chattogram Division (Out of CC),3
2025,4,Dhaka Division (Out of CC),null
2025,4,DNCC,2
2025,4,DSCC,2
2025,4,Khulna Division (Out of CC),null
2025,4,Mymensingh Division (Out of CC),null
2025,4,Rajshahi Division (Out of CC),null
2025,4,Rangpur Division (Out of CC),null
2025,4,Sylhet Division (Out of CC),null
2025,4,Barishal Division (Out of CC),3
2025,4,Chittagong Division (Out of CC),null
2025,4,Chattogram Division (Out of CC),5
2025,4,Dhaka Division (Out of CC),7
2025,4,DNCC,null
2025,4,DSCC,6
2025,4,Khulna Division (Out of CC),null
2025,4,Mymensingh Division (Out of CC),null
2025,4,Rajshahi Division (Out of CC),null
2025,4,Rangpur Division (Out of CC),null
2025,4,Sylhet Division (Out of CC),null
2025,4,Barishal Division (Out of CC),4
2025,4,Chittagong Division (Out of CC),null
2025,4,Chattogram Division (Out of CC),6
2025,4,Dhaka Division (Out of CC),6
2025,4,DNCC,4
2025,4,DSCC,8
2025,4,Khulna Division (Out of CC),3
2025,4,Mymensingh Division (Out of CC),1
2025,4,Rajshahi Division (Out of CC),null
2025,4,Rangpur Division (Out of CC),null
2025,4,Sylhet Division (Out of CC),1
2025,5,Barishal Division (Out of CC),3
2025,5,Chittagong Division (Out of CC),null
2025,5,Chattogram Division (Out of CC),6
2025,5,Dhaka Division (Out of CC),9
2025,5,DNCC,3
2025,5,DSCC,5
2025,5,Khulna Division (Out of CC),2
2025,5,Mymensingh Division (Out of CC),2
2025,5,Rajshahi Division (Out of CC),4
2025,5,Rangpur Division (Out of CC),null
2025,5,Sylhet Division (Out of CC),null
2025,5,Barishal Division (Out of CC),7
2025,5,Chittagong Division (Out of CC),null
2025,5,Chattogram Division (Out of CC),3
2025,5,Dhaka Division (Out of CC),2
2025,5,DNCC,2
2025,5,DSCC,6
2025,5,Khulna Division (Out of CC),2
2025,5,Mymensingh Division (Out of CC),null
2025,5,Rajshahi Division (Out of CC),1
2025,5,Rangpur Division (Out of CC),null
2025,5,Sylhet Division (Out of CC),null
2025,5,Barishal Division (Out of CC),5
2025,5,Chittagong Division (Out of CC),null
2025,5,Chattogram Division (Out of CC),1
2025,5,Dhaka Division (Out of CC),7
2025,5,DNCC,6
2025,5,DSCC,2
2025,5,Khulna Division (Out of CC),null
2025,5,Mymensingh Division (Out of CC),null
2025,5,Rajshahi Division (Out of CC),null
2025,5,Rangpur Division (Out of CC),null
2025,5,Sylhet Division (Out of CC),null
2025,5,Barishal Division (Out of CC),9
2025,5,Chittagong Division (Out of CC),null
2025,5,Chattogram Division (Out of CC),1
2025,5,Dhaka Division (Out of CC),2
2025,5,DNCC,2
2025,5,DSCC,5
2025,5,Khulna Division (Out of CC),null
2025,5,Mymensingh Division (Out of CC),1
2025,5,Rajshahi Division (Out of CC),2
2025,5,Rangpur Division (Out of CC),null
2025,5,Sylhet Division (Out of CC),null
2025,5,Barishal Division (Out of CC),null
2025,5,Chittagong Division (Out of CC),null
2025,5,Chattogram Division (Out of CC),1
2025,5,Dhaka Division (Out of CC),null
2025,5,DNCC,4
2025,5,DSCC,2
2025,5,Khulna Division (Out of CC),null
2025,5,Mymensingh Division (Out of CC),null
2025,5,Rajshahi Division (Out of CC),null
2025,5,Rangpur Division (Out of CC),null
2025,5,Sylhet Division (Out of CC),null
2025,5,Barishal Division (Out of CC),3
2025,5,Chattogram Division (Out of CC),2
2025,5,Dhaka Division (Out of CC),1
2025,5,DSCC,3
2025,5,Khulna Division (Out of CC),null
2025,5,Rajshahi Division (Out of CC),null
2025,5,Mymensingh Division (Out of CC),null
2025,5,DNCC,null
2025,6,Barishal Division (Out of CC),2
2025,6,Chattogram Division (Out of CC),9
2025,6,Dhaka Division (Out of CC),2
2025,6,DSCC,2
2025,6,Khulna Division (Out of CC),1
2025,6,Rajshahi Division (Out of CC),1
2025,6,Mymensingh Division (Out of CC),null
2025,6,DNCC,null
2025,6,Barishal Division (Out of CC),1
2025,6,Chattogram Division (Out of CC),1
2025,6,Dhaka Division (Out of CC),5
2025,6,DSCC,5
2025,6,Khulna Division (Out of CC),1
2025,6,Rajshahi Division (Out of CC),null
2025,6,Mymensingh Division (Out of CC),null
2025,6,DNCC,null
2025,6,Barishal Division (Out of CC),10
2025,6,Chattogram Division (Out of CC),4
2025,6,Dhaka Division (Out of CC),7
2025,6,DSCC,1
2025,6,Khulna Division (Out of CC),4
2025,6,Rajshahi Division (Out of CC),null
2025,6,Mymensingh Division (Out of CC),1
2025,6,DNCC,null
2025,6,Barishal Division (Out of CC),null
2025,6,Chattogram Division (Out of CC),2
2025,6,Dhaka Division (Out of CC),3
2025,6,DSCC,1
2025,6,Khulna Division (Out of CC),2
2025,6,Rajshahi Division (Out of CC),1
2025,6,Mymensingh Division (Out of CC),null
2025,6,DNCC,null
2025,6,Barishal Division (Out of CC),3
2025,6,Chattogram Division (Out of CC),1
2025,6,Dhaka Division (Out of CC),null
2025,6,DSCC,2
2025,6,Khulna Division (Out of CC),null
2025,6,Rajshahi Division (Out of CC),null
2025,6,Mymensingh Division (Out of CC),1
2025,6,DNCC,2
2025,6,Barishal Division (Out of CC),null
2025,6,Chattogram Division (Out of CC),3
2025,6,Dhaka Division (Out of CC),null
2025,6,DSCC,1
2025,6,Khulna Division (Out of CC),null
2025,6,Rajshahi Division (Out of CC),null
2025,6,Mymensingh Division (Out of CC),null
2025,6,DNCC,1
2025,6,Barishal Division (Out of CC),null
2025,6,Chattogram Division (Out of CC),null
2025,6,Dhaka Division (Out of CC),null
2025,6,DSCC,3
2025,6,Khulna Division (Out of CC),1
2025,6,Rajshahi Division (Out of CC),null
2025,6,Mymensingh Division (Out of CC),1
2025,6,DNCC,3
2025,7,Barishal Division (Out of CC),10
2025,7,Chattogram Division (Out of CC),15
2025,7,Dhaka Division (Out of CC),2
2025,7,DSCC,3
2025,7,Khulna Division (Out of CC),1
2025,7,Rajshahi Division (Out of CC),1
2025,7,Mymensingh Division (Out of CC),null
2025,7,DNCC,5
2025,7,Barishal Division (Out of CC),10
2025,7,Chattogram Division (Out of CC),5
2025,7,Dhaka Division (Out of CC),7
2025,7,DSCC,4
2025,7,Khulna Division (Out of CC),null
2025,7,Rajshahi Division (Out of CC),1
2025,7,Mymensingh Division (Out of CC),null
2025,7,DNCC,2
2025,7,Barishal Division (Out of CC),2
2025,7,Chattogram Division (Out of CC),7
2025,7,Dhaka Division (Out of CC),null
2025,7,DSCC,1
2025,7,Khulna Division (Out of CC),4
2025,7,Rajshahi Division (Out of CC),null
2025,7,Mymensingh Division (Out of CC),null
2025,7,DNCC,2
2025,7,Barishal Division (Out of CC),6
2025,7,Chattogram Division (Out of CC),1
2025,7,Dhaka Division (Out of CC),2
2025,7,DSCC,1
2025,7,Khulna Division (Out of CC),1
2025,7,Rajshahi Division (Out of CC),2
2025,7,Mymensingh Division (Out of CC),3
2025,7,DNCC,null
2025,7,Barishal Division (Out of CC),6
2025,7,Chattogram Division (Out of CC),1
2025,7,Dhaka Division (Out of CC),5
2025,7,DSCC,2
2025,7,Khulna Division (Out of CC),1
2025,7,Rajshahi Division (Out of CC),2
2025,7,Mymensingh Division (Out of CC),1
2025,7,DNCC,null
2025,7,Barishal Division (Out of CC),null
2025,7,Chattogram Division (Out of CC),2
2025,7,Dhaka Division (Out of CC),null
2025,7,DSCC,null
2025,7,Khulna Division (Out of CC),null
2025,7,Rajshahi Division (Out of CC),1
2025,7,Mymensingh Division (Out of CC),null
2025,7,DNCC,2
2025,7,Barishal Division (Out of CC),null
2025,7,Chattogram Division (Out of CC),5
2025,7,Dhaka Division (Out of CC),null
2025,7,DSCC,1
2025,7,Khulna Division (Out of CC),null
2025,7,Rajshahi Division (Out of CC),null
2025,7,Mymensingh Division (Out of CC),null
2025,7,DNCC,null
2025,8,Barishal Division (Out of CC),8
2025,8,Chattogram Division (Out of CC),1
2025,8,Dhaka Division (Out of CC),3
2025,8,DSCC,5
2025,8,Khulna Division (Out of CC),3
2025,8,Rajshahi Division (Out of CC),1
2025,8,Mymensingh Division (Out of CC),null
2025,8,DNCC,null
2025,8,Barishal Division (Out of CC),5
2025,8,Chattogram Division (Out of CC),7
2025,8,Dhaka Division (Out of CC),3
2025,8,DSCC,2
2025,8,Khulna Division (Out of CC),null
2025,8,Rajshahi Division (Out of CC),1
2025,8,Mymensingh Division (Out of CC),null
2025,8,DNCC,1
2025,8,Barishal Division (Out of CC),4
2025,8,Chattogram Division (Out of CC),5
2025,8,Dhaka Division (Out of CC),1
2025,8,DSCC,3
2025,8,Khulna Division (Out of CC),null
2025,8,Rajshahi Division (Out of CC),1
2025,8,Mymensingh Division (Out of CC),null
2025,8,DNCC,2
2025,8,Barishal Division (Out of CC),5
2025,8,Chattogram Division (Out of CC),1
2025,8,Dhaka Division (Out of CC),8
2025,8,DSCC,1
2025,8,Khulna Division (Out of CC),1
2025,8,Rajshahi Division (Out of CC),null
2025,8,Mymensingh Division (Out of CC),null
2025,8,DNCC,1
2025,8,Barishal Division (Out of CC),3
2025,8,Chattogram Division (Out of CC),null
2025,8,Dhaka Division (Out of CC),2
2025,8,DSCC,null
2025,8,Khulna Division (Out of CC),null
2025,8,Rajshahi Division (Out of CC),null
2025,8,Mymensingh Division (Out of CC),null
2025,8,DNCC,1
2025,8,Barishal Division (Out of CC),4
2025,8,Chattogram Division (Out of CC),3
2025,8,Dhaka Division (Out of CC),null
2025,8,DSCC,3
2025,8,Khulna Division (Out of CC),null
2025,8,Rajshahi Division (Out of CC),null
2025,8,Mymensingh Division (Out of CC),null
