Year,Week,Division,Cases
2025,48,DNCC,211
2025,48,DSCC,151
2025,48,Khulna Division (Out of CC),72
2025,48,Mymensingh Division (Out of CC),65
2025,48,Rajshahi Division (Out of CC),null
2025,48,Rangpur Division (Out of CC),2
2025,48,Sylhet Division (Out of CC),10
2025,48,Barishal Division (Out of CC),87
2025,48,Chattogram Division (Out of CC),108
2025,48,Dhaka Division (Out of CC),130
2025,48,DNCC,166
2025,48,DSCC,86
2025,48,Khulna Division (Out of CC),66
2025,48,Mymensingh Division (Out of CC),54
2025,48,Rajshahi Division (Out of CC),88
2025,48,Rangpur Division (Out of CC),null
2025,48,Sylhet Division (Out of CC),3
2025,48,Barishal Division (Out of CC),125
2025,48,Chattogram Division (Out of CC),89
2025,48,Dhaka Division (Out of CC),154
2025,48,DNCC,116
2025,48,DSCC,127
2025,48,Khulna Division (Out of CC),32
2025,48,Mymensingh Division (Out of CC),53
2025,48,Rajshahi Division (Out of CC),48
2025,48,Rangpur Division (Out of CC),null
2025,48,Sylhet Division (Out of CC),1
2025,48,Barishal Division (Out of CC),63
2025,48,Chattogram Division (Out of CC),98
2025,48,Dhaka Division (Out of CC),93
2025,48,DNCC,54
2025,48,DSCC,75
2025,48,Khulna Division (Out of CC),22
2025,48,Mymensingh Division (Out of CC),31
2025,48,Rajshahi Division (Out of CC),null
2025,48,Rangpur Division (Out of CC),null
2025,48,Sylhet Division (Out of CC),null
2025,48,Barishal Division (Out of CC),90
2025,48,Chattogram Division (Out of CC),97
2025,48,Dhaka Division (Out of CC),88
2025,48,DNCC,211
2025,48,DSCC,78
2025,48,Khulna Division (Out of CC),29
2025,48,Mymensingh Division (Out of CC),null
2025,48,Rajshahi Division (Out of CC),null
2025,48,Rangpur Division (Out of CC),null
2025,48,Sylhet Division (Out of CC),null
2025,49,Barishal Division (Out of CC),62
2025,49,Chattogram Division (Out of CC),116
2025,49,Dhaka Division (Out of CC),137
2025,49,DNCC,171
2025,49,DSCC,77
2025,49,Khulna Division (Out of CC),34
2025,49,Mymensingh Division (Out of CC),53
2025,49,Rajshahi Division (Out of CC),34
2025,49,Rangpur Division (Out of CC),5
2025,49,Sylhet Division (Out of CC),16
2025,49,Barishal Division (Out of CC),82
2025,49,Chattogram Division (Out of CC),86
2025,49,Dhaka Division (Out of CC),126
2025,49,DNCC,136
2025,49,DSCC,81
2025,49,Khulna Division (Out of CC),47
2025,49,Mymensingh Division (Out of CC),40
2025,49,Rajshahi Division (Out of CC),23
2025,49,Rangpur Division (Out of CC),6
2025,49,Sylhet Division (Out of CC),6
2025,49,Barishal Division (Out of CC),77
2025,49,Chattogram Division (Out of CC),85
2025,49,Dhaka Division (Out of CC),128
2025,49,DNCC,126
2025,49,DSCC,103
2025,49,Khulna Division (Out of CC),37
2025,49,Mymensingh Division (Out of CC),34
2025,49,Rajshahi Division (Out of CC),22
2025,49,Rangpur Division (Out of CC),null
2025,49,Sylhet Division (Out of CC),3
2025,49,Barishal Division (Out of CC),69
2025,49,Chattogram Division (Out of CC),86
2025,49,Dhaka Division (Out of CC),92
2025,49,DNCC,125
2025,49,DSCC,86
2025,49,Khulna Division (Out of CC),41
2025,49,Mymensingh Division (Out of CC),37
2025,49,Rajshahi Division (Out of CC),25
2025,49,Rangpur Division (Out of CC),2
2025,49,Sylhet Division (Out of CC),4
2025,49,Barishal Division (Out of CC),90
2025,49,Chattogram Division (Out of CC),132
2025,49,Dhaka Division (Out of CC),116
2025,49,DNCC,132
2025,49,DSCC,67
2025,49,Khulna Division (Out of CC),null
2025,49,Mymensingh Division (Out of CC),32
2025,49,Rajshahi Division (Out of CC),null
2025,49,Rangpur Division (Out of CC),null
2025,49,Sylhet Division (Out of CC),3
2025,50,Barishal Division (Out of CC),75
2025,50,Chattogram Division (Out of CC),95
2025,50,Dhaka Division (Out of CC),116
2025,50,DNCC,147
2025,50,DSCC,74
2025,50,Khulna Division (Out of CC),56
2025,50,Mymensingh Division (Out of CC),45
2025,50,Rajshahi Division (Out of CC),17
2025,50,Rangpur Division (Out of CC),2
2025,50,Sylhet Division (Out of CC),9
2025,50,Barishal Division (Out of CC),52
2025,50,Chattogram Division (Out of CC),122
2025,50,Dhaka Division (Out of CC),81
2025,50,DNCC,171
2025,50,DSCC,102
2025,50,Khulna Division (Out of CC),31
2025,50,Mymensingh Division (Out of CC),26
2025,50,Rajshahi Division (Out of CC),17
2025,50,Rangpur Division (Out of CC),2
2025,50,Sylhet Division (Out of CC),6
2025,50,Barishal Division (Out of CC),51
2025,50,Chattogram Division (Out of CC),82
2025,50,Dhaka Division (Out of CC),95
2025,50,DNCC,127
2025,50,DSCC,88
2025,50,Khulna Division (Out of CC),43
2025,50,Mymensingh Division (Out of CC),45
2025,50,Rajshahi Division (Out of CC),30
2025,50,Rangpur Division (Out of CC),3
2025,50,Sylhet Division (Out of CC),1
2025,50,Barishal Division (Out of CC),58
2025,50,Chattogram Division (Out of CC),88
2025,50,Dhaka Division (Out of CC),74
2025,50,DNCC,106
2025,50,DSCC,77
2025,50,Khulna Division (Out of CC),28
2025,50,Mymensingh Division (Out of CC),33
2025,50,Rajshahi Division (Out of CC),18
2025,50,Rangpur Division (Out of CC),5
2025,50,Sylhet Division (Out of CC),3
2025,50,Barishal Division (Out of CC),48
2025,50,Chattogram Division (Out of CC),101
2025,50,Dhaka Division (Out of CC),null
2025,50,DNCC,253
2025,50,DSCC,67
2025,50,Khulna Division (Out of CC),33
2025,50,Mymensingh Division (Out of CC),26
2025,50,Rajshahi Division (Out of CC),28
2025,50,Rangpur Division (Out of CC),4
2025,50,Sylhet Division (Out of CC),5
2025,50,Barishal Division (Out of CC),14
2025,50,Chattogram Division (Out of CC),92
2025,50,Dhaka Division (Out of CC),14
2025,50,DNCC,72
2025,50,DSCC,6
2025,50,Khulna Division (Out of CC),2
2025,50,Mymensingh Division (Out of CC),null
2025,50,Rajshahi Division (Out of CC),null
2025,50,Rangpur Division (Out of CC),null
2025,50,Sylhet Division (Out of CC),null
2025,51,Barishal Division (Out of CC),49
2025,51,Chattogram Division (Out of CC),96
2025,51,Dhaka Division (Out of CC),96
2025,51,DNCC,127
2025,51,DSCC,75
2025,51,Khulna Division (Out of CC),6
2025,51,Mymensingh Division (Out of CC),28
2025,51,Rajshahi Division (Out of CC),31
2025,51,Rangpur Division (Out of CC),5
2025,51,Sylhet Division (Out of CC),3
2025,51,Barishal Division (Out of CC),57
2025,51,Chattogram Division (Out of CC),51
2025,51,Dhaka Division (Out of CC),53
2025,51,DNCC,106
2025,51,DSCC,55
2025,51,Khulna Division (Out of CC),44
2025,51,Mymensingh Division (Out of CC),32
2025,51,Rajshahi Division (Out of CC),48
2025,51,Rangpur Division (Out of CC),3
2025,51,Sylhet Division (Out of CC),6
2025,51,Barishal Division (Out of CC),64
2025,51,Chattogram Division (Out of CC),63
2025,51,Dhaka Division (Out of CC),73
2025,51,DNCC,75
2025,51,DSCC,72
2025,51,Khulna Division (Out of CC),30
2025,51,Mymensingh Division (Out of CC),31
2025,51,Rajshahi Division (Out of CC),12
2025,51,Rangpur Division (Out of CC),1
2025,51,Sylhet Division (Out of CC),null
2025,51,Barishal Division (Out of CC),27
2025,51,Chattogram Division (Out of CC),55
2025,51,Dhaka Division (Out of CC),76
2025,51,DNCC,88
2025,51,DSCC,58
2025,51,Khulna Division (Out of CC),28
2025,51,Mymensingh Division (Out of CC),19
2025,51,Rajshahi Division (Out of CC),21
2025,51,Rangpur Division (Out of CC),2
2025,51,Sylhet Division (Out of CC),3
2025,51,Barishal Division (Out of CC),50
2025,51,Chattogram Division (Out of CC),61
2025,51,Dhaka Division (Out of CC),56
2025,51,DNCC,99
2025,51,DSCC,70
2025,51,Khulna Division (Out of CC),26
2025,51,Mymensingh Division (Out of CC),20
2025,51,Rajshahi Division (Out of CC),21
2025,51,Rangpur Division (Out of CC),2
2025,51,Sylhet Division (Out of CC),6
2025,51,Barishal Division (Out of CC),15
2025,51,Chattogram Division (Out of CC),77
2025,51,Dhaka Division (Out of CC),null
2025,51,DNCC,32
2025,51,DSCC,24
2025,51,Khulna Division (Out of CC),25
2025,51,Mymensingh Division (Out of CC),27
2025,51,Rajshahi Division (Out of CC),null
2025,51,Rangpur Division (Out of CC),null
2025,51,Sylhet Division (Out of CC),null
2025,41,Barishal Division (Out of CC),138
2025,41,Chattogram Division (Out of CC),60
2025,41,Dhaka Division (Out of CC),100
2025,41,DNCC,78
2025,41,DSCC,64
2025,41,Khulna Division (Out of CC),null
2025,41,Mymensingh Division (Out of CC),28
2025,41,Rajshahi Division (Out of CC),null
2025,41,Rangpur Division (Out of CC),22
2025,41,Sylhet Division (Out of CC),null
2025,41,Barishal Division (Out of CC),87
2025,41,Chattogram Division (Out of CC),96
2025,41,Dhaka Division (Out of CC),90
2025,41,DNCC,52
2025,41,DSCC,56
2025,41,Khulna Division (Out of CC),null
2025,41,Mymensingh Division (Out of CC),null
2025,41,Rajshahi Division (Out of CC),15
2025,41,Rangpur Division (Out of CC),null
2025,41,Sylhet Division (Out of CC),null
2025,41,Barishal Division (Out of CC),56
2025,41,Chattogram Division (Out of CC),64
2025,41,Dhaka Division (Out of CC),34
2025,41,DNCC,56
2025,41,DSCC,35
2025,41,Khulna Division (Out of CC),null
2025,41,Mymensingh Division (Out of CC),18
2025,41,Rajshahi Division (Out of CC),null
2025,41,Rangpur Division (Out of CC),null
2025,41,Sylhet Division (Out of CC),null
2025,41,Barishal Division (Out of CC),63
2025,41,Chattogram Division (Out of CC),102
2025,41,Dhaka Division (Out of CC),67
2025,41,DNCC,46
2025,41,DSCC,48
2025,41,Khulna Division (Out of CC),null
2025,41,Mymensingh Division (Out of CC),37
2025,41,Rajshahi Division (Out of CC),11
2025,41,Rangpur Division (Out of CC),null
2025,41,Sylhet Division (Out of CC),null
2025,42,Barishal Division (Out of CC),195
2025,42,Chattogram Division (Out of CC),104
2025,42,Dhaka Division (Out of CC),201
2025,42,DNCC,198
2025,42,DSCC,121
2025,42,Khulna Division (Out of CC),72
2025,42,Mymensingh Division (Out of CC),41
2025,42,Rajshahi Division (Out of CC),82
2025,42,Rangpur Division (Out of CC),23
2025,42,Sylhet Division (Out of CC),5
2025,42,Barishal Division (Out of CC),174
2025,42,Chattogram Division (Out of CC),83
2025,42,Dhaka Division (Out of CC),145
2025,42,DNCC,118
2025,42,DSCC,90
2025,42,Khulna Division (Out of CC),57
2025,42,Mymensingh Division (Out of CC),35
2025,42,Rajshahi Division (Out of CC),64
2025,42,Rangpur Division (Out of CC),11
2025,42,Sylhet Division (Out of CC),5
2025,42,Barishal Division (Out of CC),131
2025,42,Chattogram Division (Out of CC),70
2025,42,Dhaka Division (Out of CC),142
2025,42,DNCC,141
2025,42,DSCC,114
2025,42,Khulna Division (Out of CC),41
2025,42,Mymensingh Division (Out of CC),34
2025,42,Rajshahi Division (Out of CC),32
2025,42,Rangpur Division (Out of CC),10
2025,42,Sylhet Division (Out of CC),null
2025,42,Barishal Division (Out of CC),105
2025,42,Chattogram Division (Out of CC),61
2025,42,Dhaka Division (Out of CC),149
2025,42,DNCC,155
2025,42,DSCC,110
2025,42,Khulna Division (Out of CC),45
2025,42,Mymensingh Division (Out of CC),33
2025,42,Rajshahi Division (Out of CC),31
2025,42,Rangpur Division (Out of CC),6
2025,42,Sylhet Division (Out of CC),5
2025,42,Barishal Division (Out of CC),130
2025,42,Chattogram Division (Out of CC),82
2025,42,Dhaka Division (Out of CC),101
2025,42,DNCC,162
2025,42,DSCC,116
2025,42,Khulna Division (Out of CC),48
2025,42,Mymensingh Division (Out of CC),40
2025,42,Rajshahi Division (Out of CC),63
2025,42,Rangpur Division (Out of CC),32
2025,42,Sylhet Division (Out of CC),7
2025,42,Barishal Division (Out of CC),115
2025,42,Chattogram Division (Out of CC),85
2025,42,Dhaka Division (Out of CC),null
2025,42,DNCC,47
2025,42,DSCC,40
2025,42,Khulna Division (Out of CC),null
2025,42,Mymensingh Division (Out of CC),21
2025,42,Rajshahi Division (Out of CC),null
2025,42,Rangpur Division (Out of CC),null
2025,42,Sylhet Division (Out of CC),null
2025,42,Barishal Division (Out of CC),132
2025,42,Chattogram Division (Out of CC),93
2025,42,Dhaka Division (Out of CC),22
2025,42,DNCC,75
2025,42,DSCC,76
2025,42,Khulna Division (Out of CC),null
2025,42,Mymensingh Division (Out of CC),15
2025,42,Rajshahi Division (Out of CC),null
2025,42,Rangpur Division (Out of CC),null
2025,42,Sylhet Division (Out of CC),null
2025,43,Barishal Division (Out of CC),141
2025,43,Chattogram Division (Out of CC),107
2025,43,Dhaka Division (Out of CC),197
2025,43,DNCC,147
2025,43,DSCC,122
2025,43,Khulna Division (Out of CC),93
2025,43,Mymensingh Division (Out of CC),46
2025,43,Rajshahi Division (Out of CC),69
2025,43,Rangpur Division (Out of CC),23
2025,43,Sylhet Division (Out of CC),8
2025,43,Barishal Division (Out of CC),163
2025,43,Chattogram Division (Out of CC),87
2025,43,Dhaka Division (Out of CC),136
2025,43,DNCC,138
2025,43,DSCC,145
2025,43,Khulna Division (Out of CC),60
2025,43,Mymensingh Division (Out of CC),39
2025,43,Rajshahi Division (Out of CC),76
2025,43,Rangpur Division (Out of CC),7
2025,43,Sylhet Division (Out of CC),6
2025,43,Barishal Division (Out of CC),125
2025,43,Chattogram Division (Out of CC),106
2025,43,Dhaka Division (Out of CC),214
2025,43,DNCC,173
2025,43,DSCC,128
2025,43,Khulna Division (Out of CC),26
2025,43,Mymensingh Division (Out of CC),19
2025,43,Rajshahi Division (Out of CC),null
2025,43,Rangpur Division (Out of CC),47
2025,43,Sylhet Division (Out of CC),3
2025,43,Barishal Division (Out of CC),133
2025,43,Chattogram Division (Out of CC),85
2025,43,Dhaka Division (Out of CC),158
2025,43,DNCC,102
2025,43,DSCC,100
2025,43,Khulna Division (Out of CC),62
2025,43,Mymensingh Division (Out of CC),50
2025,43,Rajshahi Division (Out of CC),47
2025,43,Rangpur Division (Out of CC),19
2025,43,Sylhet Division (Out of CC),2
2025,43,Barishal Division (Out of CC),131
2025,43,Chattogram Division (Out of CC),98
2025,43,Dhaka Division (Out of CC),187
2025,43,DNCC,181
2025,43,DSCC,68
2025,43,Khulna Division (Out of CC),58
2025,43,Mymensingh Division (Out of CC),24
2025,43,Rajshahi Division (Out of CC),null
2025,43,Rangpur Division (Out of CC),6
2025,43,Sylhet Division (Out of CC),2
2025,43,Barishal Division (Out of CC),65
2025,43,Chattogram Division (Out of CC),88
2025,43,Dhaka Division (Out of CC),181
2025,43,DNCC,116
2025,43,DSCC,null
2025,43,Khulna Division (Out of CC),null
2025,43,Mymensingh Division (Out of CC),24
2025,43,Rajshahi Division (Out of CC),null
2025,43,Rangpur Division (Out of CC),null
2025,43,Sylhet Division (Out of CC),null
2025,43,Barishal Division (Out of CC),126
2025,43,Chattogram Division (Out of CC),104
2025,43,Dhaka Division (Out of CC),44
2025,43,DNCC,117
2025,43,DSCC,76
2025,43,Khulna Division (Out of CC),43
2025,43,Mymensingh Division (Out of CC),33
2025,43,Rajshahi Division (Out of CC),75
2025,43,Rangpur Division (Out of CC),null
2025,43,Sylhet Division (Out of CC),1
2025,44,Barishal Division (Out of CC),191
2025,44,Chattogram Division (Out of CC),118
2025,44,Dhaka Division (Out of CC),132
2025,44,DNCC,154
2025,44,DSCC,129
2025,44,Khulna Division (Out of CC),67
2025,44,Mymensingh Division (Out of CC),56
2025,44,Rajshahi Division (Out of CC),83
2025,44,Rangpur Division (Out of CC),20
2025,44,Sylhet Division (Out of CC),null
2025,44,Barishal Division (Out of CC),139
2025,44,Chattogram Division (Out of CC),114
2025,44,Dhaka Division (Out of CC),203
2025,44,DNCC,211
2025,44,DSCC,99
2025,44,Khulna Division (Out of CC),55
2025,44,Mymensingh Division (Out of CC),33
2025,44,Rajshahi Division (Out of CC),63
2025,44,Rangpur Division (Out of CC),23
2025,44,Sylhet Division (Out of CC),2
2025,44,Barishal Division (Out of CC),126
2025,44,Chattogram Division (Out of CC),114
2025,44,Dhaka Division (Out of CC),124
2025,44,DNCC,170
2025,44,DSCC,107
2025,44,Khulna Division (Out of CC),41
2025,44,Mymensingh Division (Out of CC),46
2025,44,Rajshahi Division (Out of CC),40
2025,44,Rangpur Division (Out of CC),41
2025,44,Sylhet Division (Out of CC),5
2025,44,Barishal Division (Out of CC),129
2025,44,Chattogram Division (Out of CC),79
2025,44,Dhaka Division (Out of CC),170
2025,44,DNCC,160
2025,44,DSCC,100
2025,44,Khulna Division (Out of CC),40
2025,44,Mymensingh Division (Out of CC),41
2025,44,Rajshahi Division (Out of CC),39
2025,44,Rangpur Division (Out of CC),3
2025,44,Sylhet Division (Out of CC),1
2025,44,Barishal Division (Out of CC),112
2025,44,Chattogram Division (Out of CC),97
2025,44,Dhaka Division (Out of CC),147
2025,44,DNCC,155
2025,44,DSCC,130
2025,44,Khulna Division (Out of CC),49
2025,44,Mymensingh Division (Out of CC),49
2025,44,Rajshahi Division (Out of CC),37
2025,44,Rangpur Division (Out of CC),17
2025,44,Sylhet Division (Out of CC),10
2025,44,Barishal Division (Out of CC),73
2025,44,Chattogram Division (Out of CC),87
2025,44,Dhaka Division (Out of CC),104
2025,44,DNCC,111
2025,44,DSCC,47
2025,44,Khulna Division (Out of CC),13
2025,44,Mymensingh Division (Out of CC),33
2025,44,Rajshahi Division (Out of CC),null
2025,44,Rangpur Division (Out of CC),null
2025,44,Sylhet Division (Out of CC),null
2025,44,Barishal Division (Out of CC),126
2025,44,Chattogram Division (Out of CC),104
2025,44,Dhaka Division (Out of CC),170
2025,44,DNCC,124
2025,44,DSCC,57
2025,44,Khulna Division (Out of CC),31
2025,44,Mymensingh Division (Out of CC),47
2025,44,Rajshahi Division (Out of CC),null
2025,44,Rangpur Division (Out of CC),null
2025,44,Sylhet Division (Out of CC),null
2025,45,Barishal Division (Out of CC),186
2025,45,Chattogram Division (Out of CC),121
2025,45,Dhaka Division (Out of CC),282
2025,45,DNCC,165
2025,45,DSCC,154
2025,45,Khulna Division (Out of CC),65
2025,45,Mymensingh Division (Out of CC),56
2025,45,Rajshahi Division (Out of CC),56
2025,45,Rangpur Division (Out of CC),50
2025,45,Sylhet Division (Out of CC),8
2025,45,Barishal Division (Out of CC),141
2025,45,Chattogram Division (Out of CC),111
2025,45,Dhaka Division (Out of CC),171
2025,45,DNCC,227
2025,45,DSCC,133
2025,45,Khulna Division (Out of CC),62
2025,45,Mymensingh Division (Out of CC),41
2025,45,Rajshahi Division (Out of CC),78
2025,45,Rangpur Division (Out of CC),12
2025,45,Sylhet Division (Out of CC),7
2025,45,Barishal Division (Out of CC),174
2025,45,Chattogram Division (Out of CC),120
2025,45,Dhaka Division (Out of CC),206
2025,45,DNCC,230
2025,45,DSCC,140
2025,45,Khulna Division (Out of CC),49
2025,45,Mymensingh Division (Out of CC),49
2025,45,Rajshahi Division (Out of CC),45
2025,45,Rangpur Division (Out of CC),19
2025,45,Sylhet Division (Out of CC),9
2025,45,Barishal Division (Out of CC),114
2025,45,Chattogram Division (Out of CC),88
2025,45,Dhaka Division (Out of CC),190
2025,45,DNCC,239
2025,45,DSCC,145
2025,45,Khulna Division (Out of CC),50
2025,45,Mymensingh Division (Out of CC),51
2025,45,Rajshahi Division (Out of CC),66
2025,45,Rangpur Division (Out of CC),16
2025,45,Sylhet Division (Out of CC),5
2025,45,Barishal Division (Out of CC),120
2025,45,Chattogram Division (Out of CC),88
2025,45,Dhaka Division (Out of CC),194
2025,45,DNCC,203
2025,45,DSCC,142
2025,45,Khulna Division (Out of CC),46
2025,45,Mymensingh Division (Out of CC),56
2025,45,Rajshahi Division (Out of CC),63
2025,45,Rangpur Division (Out of CC),13
2025,45,Sylhet Division (Out of CC),3
2025,45,Barishal Division (Out of CC),53
2025,45,Chattogram Division (Out of CC),91
2025,45,Dhaka Division (Out of CC),213
2025,45,DNCC,108
2025,45,DSCC,null
2025,45,Khulna Division (Out of CC),null
2025,45,Mymensingh Division (Out of CC),16
2025,45,Rajshahi Division (Out of CC),25
2025,45,Rangpur Division (Out of CC),null
2025,45,Sylhet Division (Out of CC),null
2025,36,Barishal Division (Out of CC),114
2025,36,Chattogram Division (Out of CC),97
2025,36,Dhaka Division (Out of CC),107
2025,36,DNCC,94
2025,36,DSCC,59
2025,36,Khulna Division (Out of CC),44
2025,36,Mymensingh Division (Out of CC),14
2025,36,Rajshahi Division (Out of CC),21
2025,36,Rangpur Division (Out of CC),null
2025,36,Sylhet Division (Out of CC),2
2025,36,Barishal Division (Out of CC),113
2025,36,Chattogram Division (Out of CC),81
2025,36,Dhaka Division (Out of CC),76
2025,36,DNCC,53
2025,36,DSCC,83
2025,36,Khulna Division (Out of CC),null
2025,36,Mymensingh Division (Out of CC),10
2025,36,Rajshahi Division (Out of CC),48
2025,36,Rangpur Division (Out of CC),7
2025,36,Sylhet Division (Out of CC),2
2025,36,Barishal Division (Out of CC),78
2025,36,Chattogram Division (Out of CC),98
2025,36,Dhaka Division (Out of CC),69
2025,36,DNCC,59
2025,36,DSCC,87
2025,36,Khulna Division (Out of CC),null
2025,36,Mymensingh Division (Out of CC),24
2025,36,Rajshahi Division (Out of CC),21
2025,36,Rangpur Division (Out of CC),6
2025,36,Sylhet Division (Out of CC),3
2025,36,Barishal Division (Out of CC),88
2025,36,Chattogram Division (Out of CC),50
2025,36,Dhaka Division (Out of CC),70
2025,36,DNCC,56
2025,36,DSCC,56
2025,36,Khulna Division (Out of CC),16
2025,36,Mymensingh Division (Out of CC),10
2025,36,Rajshahi Division (Out of CC),16
2025,36,Rangpur Division (Out of CC),null
2025,36,Sylhet Division (Out of CC),1
2025,36,Barishal Division (Out of CC),48
2025,36,Chattogram Division (Out of CC),19
2025,36,Dhaka Division (Out of CC),30
2025,36,DNCC,27
2025,36,DSCC,16
2025,36,Khulna Division (Out of CC),7
2025,36,Mymensingh Division (Out of CC),null
2025,36,Rajshahi Division (Out of CC),11
2025,36,Rangpur Division (Out of CC),null
2025,36,Sylhet Division (Out of CC),null
2025,36,Barishal Division (Out of CC),49
2025,36,Chattogram Division (Out of CC),76
2025,36,Dhaka Division (Out of CC),50
2025,36,DNCC,58
2025,36,DSCC,73
2025,36,Khulna Division (Out of CC),38
2025,36,Mymensingh Division (Out of CC),20
2025,36,Rajshahi Division (Out of CC),null
2025,36,Rangpur Division (Out of CC),null
2025,36,Sylhet Division (Out of CC),null
2025,37,Barishal Division (Out of CC),128
2025,37,Chattogram Division (Out of CC),94
2025,37,Dhaka Division (Out of CC),85
2025,37,DNCC,85
2025,37,DSCC,80
2025,37,Khulna Division (Out of CC),32
2025,37,Mymensingh Division (Out of CC),17
2025,37,Rajshahi Division (Out of CC),55
2025,37,Rangpur Division (Out of CC),3
2025,37,Sylhet Division (Out of CC),1
2025,37,Barishal Division (Out of CC),104
2025,37,Chattogram Division (Out of CC),83
2025,37,Dhaka Division (Out of CC),143
2025,37,DNCC,73
2025,37,DSCC,80
2025,37,Khulna Division (Out of CC),31
2025,37,Mymensingh Division (Out of CC),14
2025,37,Rajshahi Division (Out of CC),44
2025,37,Rangpur Division (Out of CC),null
2025,37,Sylhet Division (Out of CC),1
2025,37,Barishal Division (Out of CC),101
2025,37,Chattogram Division (Out of CC),114
2025,37,Dhaka Division (Out of CC),106
2025,37,DNCC,30
2025,37,DSCC,92
2025,37,Khulna Division (Out of CC),14
2025,37,Mymensingh Division (Out of CC),null
2025,37,Rajshahi Division (Out of CC),26
2025,37,Rangpur Division (Out of CC),2
2025,37,Sylhet Division (Out of CC),2
2025,37,Barishal Division (Out of CC),96
2025,37,Chattogram Division (Out of CC),112
2025,37,Dhaka Division (Out of CC),114
2025,37,DNCC,87
2025,37,DSCC,130
2025,37,Khulna Division (Out of CC),17
2025,37,Mymensingh Division (Out of CC),15
2025,37,Rajshahi Division (Out of CC),37
2025,37,Rangpur Division (Out of CC),14
2025,37,Sylhet Division (Out of CC),3
2025,37,Barishal Division (Out of CC),109
2025,37,Chattogram Division (Out of CC),58
2025,37,Dhaka Division (Out of CC),104
2025,37,DNCC,144
2025,37,DSCC,103
2025,37,Khulna Division (Out of CC),null
2025,37,Mymensingh Division (Out of CC),12
2025,37,Rajshahi Division (Out of CC),44
2025,37,Rangpur Division (Out of CC),10
2025,37,Sylhet Division (Out of CC),2
2025,37,Barishal Division (Out of CC),49
2025,37,Chattogram Division (Out of CC),66
2025,37,Dhaka Division (Out of CC),40
2025,37,DNCC,11
2025,37,DSCC,67
2025,37,Khulna Division (Out of CC),null
2025,37,Mymensingh Division (Out of CC),12
2025,37,Rajshahi Division (Out of CC),null
2025,37,Rangpur Division (Out of CC),null
2025,37,Sylhet Division (Out of CC),null
2025,37,Barishal Division (Out of CC),45
2025,37,Chattogram Division (Out of CC),84
2025,37,Dhaka Division (Out of CC),42
2025,37,DNCC,33
2025,37,DSCC,64
2025,37,Khulna Division (Out of CC),2
2025,37,Mymensingh Division (Out of CC),9
2025,37,Rajshahi Division (Out of CC),null
2025,37,Rangpur Division (Out of CC),null
2025,37,Sylhet Division (Out of CC),null
2025,38,Barishal Division (Out of CC),125
2025,38,Chattogram Division (Out of CC),89
2025,38,Dhaka Division (Out of CC),122
2025,38,DNCC,116
2025,38,DSCC,128
2025,38,Khulna Division (Out of CC),35
2025,38,Mymensingh Division (Out of CC),21
2025,38,Rajshahi Division (Out of CC),39
2025,38,Rangpur Division (Out of CC),6
2025,38,Sylhet Division (Out of CC),4
2025,39,Barishal Division (Out of CC),131
2025,39,Chattogram Division (Out of CC),92
2025,39,Dhaka Division (Out of CC),131
2025,39,DNCC,105
2025,39,DSCC,97
2025,39,Khulna Division (Out of CC),29
2025,39,Mymensingh Division (Out of CC),6
2025,39,Rajshahi Division (Out of CC),34
2025,39,Rangpur Division (Out of CC),7
2025,39,Sylhet Division (Out of CC),4
2025,39,Barishal Division (Out of CC),135
2025,39,Chattogram Division (Out of CC),79
2025,39,Dhaka Division (Out of CC),125
2025,39,DNCC,83
2025,39,DSCC,141
2025,39,Khulna Division (Out of CC),67
2025,39,Mymensingh Division (Out of CC),19
2025,39,Rajshahi Division (Out of CC),null
2025,39,Rangpur Division (Out of CC),14
2025,39,Sylhet Division (Out of CC),2
2025,39,Barishal Division (Out of CC),131
2025,39,Chattogram Division (Out of CC),98
2025,39,Dhaka Division (Out of CC),104
2025,39,DNCC,100
2025,39,DSCC,99
2025,39,Khulna Division (Out of CC),14
2025,39,Mymensingh Division (Out of CC),19
2025,39,Rajshahi Division (Out of CC),51
2025,39,Rangpur Division (Out of CC),6
2025,39,Sylhet Division (Out of CC),null
2025,39,Barishal Division (Out of CC),78
2025,39,Chattogram Division (Out of CC),76
2025,39,Dhaka Division (Out of CC),66
2025,39,DNCC,58
2025,39,DSCC,71
2025,39,Khulna Division (Out of CC),5
2025,39,Mymensingh Division (Out of CC),21
2025,39,Rajshahi Division (Out of CC),7
2025,39,Rangpur Division (Out of CC),null
2025,39,Sylhet Division (Out of CC),null
2025,40,Barishal Division (Out of CC),165
2025,40,Chattogram Division (Out of CC),77
2025,40,Dhaka Division (Out of CC),147
2025,40,DNCC,122
2025,40,DSCC,115
2025,40,Khulna Division (Out of CC),52
2025,40,Mymensingh Division (Out of CC),22
2025,40,Rajshahi Division (Out of CC),28
2025,40,Rangpur Division (Out of CC),3
2025,40,Sylhet Division (Out of CC),9
2025,40,Barishal Division (Out of CC),149
2025,40,Chattogram Division (Out of CC),90
2025,40,Dhaka Division (Out of CC),113
2025,40,DNCC,126
2025,40,DSCC,74
2025,40,Khulna Division (Out of CC),25
2025,40,Mymensingh Division (Out of CC),33
2025,40,Rajshahi Division (Out of CC),55
2025,40,Rangpur Division (Out of CC),10
2025,40,Sylhet Division (Out of CC),3
2025,40,Barishal Division (Out of CC),136
